ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
CH,2020-10-03,0,230,230,2021-02-14
CH,2020-10-04,0,468,468,2021-02-14
CH,2020-10-05,0,184,184,2021-02-14
CH,2020-10-06,0,281,281,2021-02-14
CH,2020-10-07,0,749,749,2021-02-14
CH,2020-10-08,0,352,352,2021-02-14
CH,2020-10-09,0,881,881,2021-02-14
CH,2020-10-10,0,452,452,2021-02-14
CH,2020-10-11,0,440,440,2021-02-14
CH,2020-10-12,0,642,642,2021-02-14
CH,2020-10-13,0,634,634,2021-02-14
CH,2020-10-14,0,603,603,2021-02-14
CH,2020-10-15,0,663,663,2021-02-14
CH,2020-10-16,0,858,858,2021-02-14
CH,2020-10-17,0,125,125,2021-02-14
CH,2020-10-18,0,959,959,2021-02-14
CH,2020-10-19,0,518,518,2021-02-14
CH,2020-10-20,0,646,646,2021-02-14
CH,2020-10-21,0,950,950,2021-02-14
CH,2020-10-22,0,762,762,2021-02-14
CH,2020-10-23,0,427,427,2021-02-14
CH,2020-10-24,0,469,469,2021-02-14
CH,2020-10-25,0,1005,1005,2021-02-14
CH,2020-10-26,0,862,862,2021-02-14
CH,2020-10-27,0,822,822,2021-02-14
CH,2020-10-28,0,792,792,2021-02-14
CH,2020-10-29,0,891,891,2021-02-14
CH,2020-10-30,0,621,621,2021-02-14
CH,2020-10-31,0,398,398,2021-02-14
CH,2020-11-01,0,775,775,2021-02-14
CH,2020-11-02,0,884,884,2021-02-14
CH,2020-11-03,0,442,442,2021-02-14
CH,2020-11-04,0,1280,1280,2021-02-14
CH,2020-11-05,0,456,456,2021-02-14
CH,2020-11-06,0,879,879,2021-02-14
CH,2020-11-07,0,1071,1071,2021-02-14
CH,2020-11-08,0,611,611,2021-02-14
CH,2020-11-09,0,1075,1075,2021-02-14
CH,2020-11-10,0,694,694,2021-02-14
CH,2020-11-11,0,872,872,2021-02-14
CH,2020-11-12,0,716,716,2021-02-14
CH,2020-11-13,0,711,711,2021-02-14
CH,2020-11-14,0,901,901,2021-02-14
CH,2020-11-15,0,644,644,2021-02-14
